Row,z_1,z_2
0,-0.9233770602822162,-2.8446643669739564
1,-1.2188891710013408,-2.6327231588821776
2,-1.2555250172111048,-1.6977079409640805
3,,
4,-1.2555250172111048,-1.6977079409640805
5,-1.3991626867732023,-1.3355556336646355
6,-1.182717335491376,-0.6086508132843347
7,-1.3999956947934893,-0.0931865816909725
8,-1.805208192173829,0.9840071508984122
9,-1.3204958513243668,1.5252066968647204
10,-1.7420008118944788,2.0008073283650427
11,-1.922855110160152,3.2726509675895747
12,-1.4395054577352455,3.9068020284146896
13,-1.216366664492653,3.8136946751944025
14,-0.7893722175196819,3.869529466723299
15,-0.3209239646808909,4.1839554103772425
16,0.20500194259204726,4.02974179743242
17,0.41110613072833196,3.5266548058169436
18,0.6913488840948079,2.90017835473932
19,1.201471663352879,2.6614524194718006
20,1.925563203356285,1.0695624754840398
21,2.126005771068413,0.5987461103577069
22,1.6158414323821628,0.293512337578496
23,1.5942048415873828,0.2624530541704891
24,1.8060536718069038,-0.9756557678812744
25,1.7588978929985413,-1.3745688954226232
26,1.3528638903425192,-2.06262409401701
27,1.0387501664852483,-2.3437591202261805
28,,
29,-1.7420008118944788,2.0008073283650427
30,-2.1557174094563876,1.946051287946969
31,-2.072546275495395,2.7331546360067835
