Row,z_1,z_2
0,-1.3991626867732023,-1.3355556336646355
1,-1.182717335491376,-0.6086508132843347
2,-1.3999956947934893,-0.0931865816909725
3,-1.805208192173829,0.9840071508984122
4,-1.3204958513243668,1.5252066968647204
5,-1.7420008118944788,2.0008073283650427
6,-1.922855110160152,3.2726509675895747
7,-1.4395054577352455,3.9068020284146896
8,-1.216366664492653,3.8136946751944025
9,-0.7893722175196819,3.869529466723299
10,-0.3209239646808909,4.1839554103772425
11,0.20500194259204726,4.02974179743242
12,0.41110613072833196,3.5266548058169436
13,0.6913488840948079,2.90017835473932
14,1.201471663352879,2.6614524194718006
15,1.925563203356285,1.0695624754840398
16,2.059068424576473,-0.36956729322262794
17,1.8060536718069038,-0.9756557678812744
18,1.7588978929985413,-1.3745688954226232
19,1.3528638903425192,-2.06262409401701
20,0.7922721716649479,-2.4588397635527457
21,-0.9233770602822162,-2.8446643669739564
22,-1.4078589313673904,-1.8922216444878006
23,,
24,-1.5383233406826702,-2.5338914040479037
25,-1.694024727809113,-2.2011360212099302
26,-1.4078589313673904,-1.8922216444878006
27,,
28,-2.1557174094563876,1.946051287946969
29,-2.072546275495395,2.7331546360067835
30,-1.7420008118944788,2.0008073283650427
