instances,instance_hardness
1,0.22452761546704492
2,0.40139341030324016
3,0.8898846728105755
4,0.9396493324306467
5,0.18534839593231323
6,0.351987809709709
7,0.4275973808232394
8,0.05770954024293884
9,0.0434545426630244
10,0.1413121985560678
11,0.6730115699700318
12,0.8471879349327417
13,0.04361977543884399
14,0.4960508763377647
15,0.5448634214123599
16,0.17015028070232951
17,0.046166353027485396
18,0.08564011287600204
19,0.36608811536085906
20,0.4138111288610987
21,0.060103682807378656
22,0.06838169028257024
23,0.11070937763755995
24,0.12240705450556466
25,0.23537351006581808
26,0.06273343926268815
27,0.24715035954038533
28,0.05836579960939614
29,0.2669956952876631
30,0.08168729709176692
31,0.5592783243673998
32,0.7751870371365664
33,0.048664314084700955
34,0.0658853614031808
35,0.16643812428515725
36,0.26774115545563404
37,0.06459245114176781
38,0.8145763925086129
39,0.11854567878866262
40,0.07334783828316427
41,0.8816548433693542
42,0.16370287028658181
43,0.06273343926268815
44,0.13766730219733514
45,0.13519786717781557
46,0.06288836006223619
47,0.8651946443899627
48,0.7917588147736329
49,0.3440319105657723
50,0.15932947185437896
51,0.29754553151294083
52,0.03938935792198872
53,0.1252086841590503
54,0.10887096084972758
55,0.04975660216323785
56,0.0926585308118325
57,0.05034825029615775
58,0.13501929330320062
59,0.5546681189819307
60,0.11159026318653054
61,0.37167706939761813
62,0.09531414759949097
63,0.05629044582321363
64,0.07334783828316427
65,0.5581620522020272
66,0.060350667569353256
67,0.1693452544617724
68,0.9488338249395974
69,0.18385812818446345
70,0.9530950185424301
71,0.03227747405763204
72,0.2105810107762216
73,0.303338083182111
74,0.09669017514206146
75,0.28395958406063193
76,0.1542981769872558
77,0.46868818890558006
78,0.03568726435665659
79,0.045228929705846244
80,0.05756860826413901
81,0.05940068392664877
82,0.15312545593225213
83,0.23855921736637964
84,0.08986881824333881
85,0.8244508476284019
86,0.1768999883771255
87,0.13389167189861195
88,0.8948917407384395
89,0.04054539124868717
90,0.11997030780311169
91,0.09190417220440894
92,0.8138243778543193
93,0.03227747405763204
94,0.16302371771779645
95,0.25287180712600044
96,0.13848454729333426
97,0.41998160626918035
98,0.3634298193892037
99,0.539036750886838
100,0.044594077976993884
101,0.047405633576272255
102,0.5417488565705549
103,0.06273343926268815
104,0.06477412321168541
105,0.07192129805248904
106,0.774494775492232
107,0.36018166366224724
108,0.08930121321282936
109,0.4081146836840619
110,0.07134383826693935
111,0.17462526746596685
112,0.11069632857704492
113,0.8698053355210873
114,0.05428463262557037
115,0.047020777497334576
116,0.05687371993229684
117,0.6492950127620805
118,0.044918232074071085
119,0.35070498723791954
120,0.08193545339464103
121,0.4089097471181462
122,0.04534084135877192
123,0.04218463275502904
124,0.2303729970380679
125,0.35070498723791954
126,0.11787074565314992
127,0.07192129805248904
128,0.045489644464392964
129,0.1548166690899211
130,0.10147072570407834
131,0.2245054334350658
132,0.548520301902511
133,0.08067937486733556
134,0.052339723796577586
135,0.3382883483549771
136,0.3083793683766405
137,0.08639949814838499
138,0.14623418302825952
139,0.041487593043184834
140,0.3622765991690433
141,0.10584346923366938
142,0.1996714550461185
143,0.6440775747418523
144,0.46956920357003296
145,0.6836124435041959
146,0.03477927686473847
147,0.6118029345111204
148,0.11241977709628714
149,0.2250845862609132
150,0.06273343926268815
151,0.07263098881122021
152,0.05053831096616024
153,0.0773520217653827
154,0.8468745440677479
155,0.052029841005267974
156,0.06051276257973792
157,0.0660299914982323
158,0.06213899480084151
159,0.44827858012027555
160,0.10510825926156053
161,0.7256494643311858
162,0.7646264899341819
163,0.04548248251934983
164,0.04173569519883513
165,0.5439959333849269
166,0.7751870371365664
167,0.08374805447858469
168,0.09932169247837741
169,0.23849688260247803
170,0.5917930314460731
171,0.7751870371365664
172,0.5230855369732735
173,0.13519786717781557
174,0.17199615631607623
175,0.07270168797309384
176,0.3135530313966308
177,0.03477927686473847
178,0.8714732739892074
179,0.272300149013218
180,0.041487593043184834
181,0.329978243761047
182,0.06884209335386704
183,0.8559235085577122
184,0.303338083182111
185,0.1488179795167559
186,0.2303729970380679
187,0.0694854557536011
188,0.7969034653174808
189,0.3190931615223538
190,0.19695128183635346
191,0.11069632857704492
192,0.0777235202507297
193,0.18385812818446345
194,0.34980197268546853
195,0.06759705768413382
196,0.06985930477605751
197,0.3770786428755569
198,0.05437596766084296
199,0.2743505356688142
200,0.22238323821646266
201,0.6530911758199788
202,0.35694248729263545
203,0.038769493520738774
204,0.3587877468448276
205,0.046780792494679924
206,0.3769875118797028
207,0.1996714550461185
208,0.38774204628430886
209,0.3996602112465977
210,0.4883968443731208
211,0.6169154522991951
212,0.25873018947018755
213,0.03588491007287753
214,0.039239099589155946
215,0.044594077976993884
216,0.03797942171387936
217,0.05529570841862885
218,0.4051095778971481
219,0.669982876376251
220,0.03588491007287753
221,0.056211135501315845
222,0.06695217346207749
223,0.09202457283499155
224,0.05417229807129231
225,0.08428822229822419
226,0.2743505356688142
227,0.21219741858565078
228,0.05826896860258046
229,0.1910264393454496
230,0.13038835107478053
231,0.09173621609536486
232,0.35653567549634
233,0.11854567878866262
234,0.2846969738714874
235,0.9062099682588481
236,0.12502933428456475
237,0.06213899480084151
238,0.08954479603822663
239,0.09029759748446498
240,0.05937206700929598
241,0.5800183937308196
242,0.13501929330320062
243,0.1451894841904462
244,0.3373484605804853
245,0.13501929330320062
246,0.06695217346207749
247,0.17681324434842538
248,0.057303358152435147
249,0.8298497192976705
250,0.038769493520738774
251,0.09725898477169403
252,0.03491272655321309
253,0.19903811785587033
254,0.18338218847379817
255,0.09932169247837741
256,0.14497707562252726
257,0.732258844544366
258,0.05034825029615775
259,0.9347106459665945
260,0.12852672601079262
261,0.225505224507768
262,0.04216901207042234
263,0.8550229243774727
264,0.044594077976993884
265,0.8559235085577122
266,0.1588127613136896
267,0.1996714550461185
268,0.10006841024186941
269,0.299923122498425
270,0.06477412321168541
