Row,z_1,z_2
0,-1.3999956947934893,-0.0931865816909725
1,-1.805208192173829,0.9840071508984122
2,-1.3204958513243668,1.5252066968647204
3,-1.7420008118944788,2.0008073283650427
4,-1.922855110160152,3.2726509675895747
5,-1.4395054577352455,3.9068020284146896
6,-1.216366664492653,3.8136946751944025
7,-0.7893722175196819,3.869529466723299
8,-0.3209239646808909,4.1839554103772425
9,0.20500194259204726,4.02974179743242
10,0.41110613072833196,3.5266548058169436
11,0.6913488840948079,2.90017835473932
12,1.201471663352879,2.6614524194718006
13,1.925563203356285,1.0695624754840398
14,2.126005771068413,0.5987461103577069
15,1.6158414323821628,0.293512337578496
16,1.5942048415873828,0.2624530541704891
17,1.4109485847358376,-0.05279777635466128
18,1.4743026002245745,-0.49514979289648303
19,-1.182717335491376,-0.6086508132843347
20,,
21,-2.072546275495395,2.7331546360067835
22,-1.7420008118944788,2.0008073283650427
23,-2.1557174094563876,1.946051287946969
24,,
25,1.7286892297810952,-0.7741235903195752
26,1.7588978929985413,-1.3745688954226232
27,1.3528638903425192,-2.06262409401701
28,1.4743026002245745,-0.49514979289648303
