Row,z_1,z_2
0,-0.5044747894433601,-3.457560743153649
1,-0.8114245232370475,-3.7491707860189014
2,-0.8202263507904063,-3.4816761806970065
3,,
4,0.9399275313597854,1.8580804621007807
5,1.1544267403723745,1.6433784424343343
6,1.3432618846663265,0.7665404097115865
7,,
8,-0.902654077848779,3.7139419260166364
9,-0.07720412577826997,3.545391010409287
10,-1.159472865650505,3.409798114573189
11,,
12,-0.0711256289324889,3.980228846468685
13,-0.07720412577826997,3.545391010409287
14,-0.7893722175196819,3.869529466723299
