instances,feature_F1,feature_Harmfulness,feature_LSC,feature_LSR,feature_N1,feature_N2,feature_Usefulness,algo_bagging,algo_gradient_boosting,algo_random_forest,algo_svc_linear
1,1.0,0.0,0.9888059701492538,0.8245904923280436,0.5,0.4421586351976412,0.9925373134328358,0.21882090366545368,0.21206525412231864,0.2747879106480994,0.25367719111846426
2,1.0,0.0,0.908,0.8125016865956098,0.0,0.36687577296649665,0.96,0.12427102321886428,0.22727064814820466,0.08426534705288757,0.06641121860084524
3,1.0,0.0,0.9813432835820896,0.7983464228899558,0.0,0.47878909363087874,0.9925373134328358,0.4320559576984392,0.3240415099409551,0.7551997660162844,0.15132191663429967
4,1.0,0.0,0.79,0.8081889835486733,0.0,0.23903549395097057,0.908,0.06422531415561837,0.0313702729444433,0.040425183377033956,0.05388636944508764
5,1.0,0.0,0.9850746268656716,0.6742083429619239,0.0,0.4701871271997664,0.996268656716418,0.27886851783984673,0.5355838839754239,0.13211418296568783,0.038922613607374805
6,1.0,0.0037313432835820895,0.996,0.9185402944371973,0.25,0.34741731888497396,0.99,0.05316454973717523,0.09627175885380465,0.0860468341654384,0.3593135870189251
7,1.0,0.04,0.996268656716418,0.8931816490442335,1.0,0.6526467172473644,1.0,2.53277351364783,2.8119157875386405,3.180050187935393,2.464442133742818
8,1.0,0.007462686567164179,0.998,0.8910299964402396,1.0,0.5661607628346703,1.0,0.8333246282520823,0.9760883532061557,0.5231974764534888,1.996989986783192
9,1.0,0.0,0.9888059701492538,0.7138673613724603,0.0,0.4821839472789601,0.996268656716418,0.196194331474835,0.09012601733472893,0.13211418296568783,0.0756893523964263
10,1.0,0.002,0.9925373134328358,0.8221038243005105,0.0,0.49954104790621345,1.0,1.5145299002695505,1.7801983869218767,1.9320574292845316,2.572808296981317
11,1.0,0.0037313432835820895,0.984,0.8580852956438081,0.3333333333333333,0.4220432459558284,0.994,0.07479623962341393,0.09601320229787236,0.15940936649309054,0.4999527957511976
12,1.0,0.004,0.996268656716418,0.8752763918598423,1.0,0.6057510663493477,0.996268656716418,0.06846521511861092,0.05971377223541753,0.0502168116063976,0.06201518664273437
13,1.0,0.0,0.996,0.8025237769129098,0.0,0.496178510683276,1.0,0.13442050771282882,0.06031613351941067,0.16484695126989593,1.9673037248843528
14,0.875,0.0,0.9664179104477612,0.58925572654983,0.0,0.3950366276300128,0.996268656716418,0.4320559576984392,0.205677752916821,0.23405535221156787,0.5841832468972751
15,1.0,0.002,0.996268656716418,0.8756007280116718,1.0,0.5838651473418863,1.0,0.20211239413136675,0.14733133500245832,0.4226206250394874,0.3938108811833151
16,1.0,0.006,0.996268656716418,0.9624499088817665,1.0,0.7475817255965944,1.0,1.9746484090627852,0.5596623467617166,1.5183961787060196,0.9196761425848428
17,1.0,0.002,0.9888059701492538,0.881972699267544,0.0,0.4856727721065969,0.996268656716418,0.5702253564318257,0.8949000495134976,0.964036607542874,0.8423606304404708
18,1.0,0.002,0.996268656716418,0.9117185309239269,0.3333333333333333,0.5127089502461633,0.9925373134328358,1.064405485755423,0.8634378049062922,1.290309041719158,1.3645630772372253
19,1.0,0.0037313432835820895,0.998,0.8013681892879578,0.5,0.5178126523434506,1.0,0.2081746887264196,0.40805327725019847,0.12365433286510874,0.5548824975762483
20,1.0,0.016,0.996268656716418,0.8872678392566007,0.5,0.5373686841676891,0.9925373134328358,0.3037875124922587,0.8996001478741263,0.6981728008543986,1.0403346665769517
21,1.0,0.007462686567164179,0.998,0.8575716948368106,0.6666666666666666,0.5257177750579877,0.998,0.4344828619794075,0.6934257200347755,0.9395730980141332,0.9676402641641845
22,1.0,0.0,0.982,0.846296968052279,0.0,0.36607280095505323,0.992,0.17175355442901796,0.15758726577462534,0.286960594425758,0.7707062863501558
23,1.0,0.002,0.9850746268656716,0.7945461436972615,0.5,0.2615864003629701,0.9925373134328358,0.11414063631951343,0.19122232531820743,0.12001036631088723,0.05320692663493164
24,1.0,0.0,0.9888059701492538,0.8067792864162782,0.0,0.4830613901520354,0.996268656716418,1.0429869059519772,0.4988169470212743,0.7501415848857851,0.922418220292542
25,1.0,0.002,0.9888059701492538,0.8434845742550199,0.0,0.45969350052934244,0.9888059701492538,0.29527650435755826,0.2774877793422616,0.12016638010343288,0.12693533384861064
26,1.0,0.006,0.996268656716418,0.9232548010409488,0.6666666666666666,0.5723391556867197,0.996268656716418,0.44630437190904215,0.7557976493673566,1.2182137045641923,0.47103748273688323
27,1.0,0.002,0.9850746268656716,0.8797654230319522,0.0,0.46876934771219425,0.9850746268656716,0.17211085332552087,0.34417222208305387,0.11596696840929817,0.18060753044275712
28,1.0,0.0,0.9359999999999999,0.8459192882791673,0.0,0.35923762883644217,0.914,0.06630274611132862,0.025571135594411258,0.03847429762335209,0.06846272931150467
29,1.0,0.0,0.996,0.7962975743063303,0.0,0.42832586384711,0.998,0.3214256553156903,0.3568951722760305,0.34595233545995857,1.1327978096564209
30,1.0,0.0037313432835820895,0.996,0.919820507207065,0.0,0.4435439447467685,0.996,0.8239605263620711,0.9548342230695532,0.713560503046132,0.5168162717061756
31,1.0,0.0037313432835820895,0.998,0.8968506353079189,0.5,0.6502718211495093,0.998,0.7844826790911749,0.6829460624400873,1.0891190225026397,0.830296885253964
32,1.0,0.002,0.9813432835820896,0.8061525361612841,0.0,0.38775338044997965,0.9925373134328358,0.15869069511169798,0.2672491316633899,0.35271944886192225,0.49845187728905
33,1.0,0.0,0.97,0.8751198965666838,0.0,0.4097618374809401,0.906,0.044767004887317594,0.10752215851499544,0.05451617422311729,0.14291007239968292
34,1.0,0.0,0.992,0.8698031021734496,0.0,0.3967547316013357,0.996,0.08277135062644268,0.02289488667742773,0.04247290660450363,0.051366636656148885
35,1.0,0.011194029850746268,0.998,0.882890800733445,1.0,0.5878054490328686,0.994,1.5659605624440982,0.9977350444696463,2.4510100822076026,0.9566602245461899
36,1.0,0.0,0.99,0.7521653666871463,0.0,0.37639474108399085,0.996,0.12375964593992274,0.3176523611323141,0.26932116645532184,0.2937234413394093
37,1.0,0.0,0.996,0.8771799752362651,0.3333333333333333,0.4779061849232257,1.0,2.562803796793887,1.3729267915778718,1.9581040804880592,1.4790435122951733
38,1.0,0.006,0.996268656716418,0.853458667486864,0.5,0.5601331692379565,0.9925373134328358,1.6287355815270135,0.30312206650159773,0.6807953636597491,0.5632803837310272
39,1.0,0.014,0.996268656716418,0.8791030648303464,1.0,0.6041001257303691,1.0,2.5025417673763797,2.5722496904196963,3.035488186450065,1.4806361757939523
40,1.0,0.0,0.996268656716418,0.7842472226846826,1.0,0.5671423517524502,1.0,1.0489311458236605,0.6829951257213857,0.6455724049088515,0.4651673729927613
41,1.0,0.014925373134328358,0.998,0.8770476810975232,0.75,0.5416252693162515,0.998,2.071262646155156,1.8521587623098337,1.683646222701474,1.5241359624262778
42,1.0,0.018656716417910446,0.998,0.8989171620407019,0.5,0.5827266621416016,0.998,2.4657154964098686,1.0795223249095285,2.811893593253453,1.6755976042322127
43,1.0,0.0,0.99,0.8083176299148289,0.0,0.4422362561903538,1.0,0.17175355442901796,0.0789589420934288,0.10964412960525384,0.2496221005233815
44,1.0,0.0,0.9664179104477612,0.6981479036123499,0.0,0.42922736151621566,1.0,0.25597859610789425,0.3514514809268554,0.10104486696922155,0.0777612745482492
45,1.0,0.011194029850746268,0.998,0.9417834394466257,1.0,0.6924417026411697,1.0,1.7708141738384768,1.3448917116015515,0.8633066692596314,1.4066296542790062
