instances,instance_hardness
1,0.2732759989999727
2,0.1118252609618684
3,0.3193090292715255
4,0.047693422316558265
5,0.2998062632233953
6,0.14884262670050674
7,0.9378400174924797
8,0.4772087487960035
9,0.1386324328462225
10,0.8282809968442546
11,0.16754462660739933
12,0.06356881856909147
13,0.3548891887658119
14,0.48247861605259934
15,0.3129257901827738
16,0.6763194088215008
17,0.6226363980434217
18,0.7423179113319108
19,0.2765745446863652
20,0.3866263512179746
21,0.44775924221647245
22,0.2693933938605648
23,0.11426065888608927
24,0.6173288686995622
25,0.2148009929571567
26,0.6298581710756178
27,0.18683606222504223
28,0.05218597885076848
29,0.575951566709431
30,0.5612227385984472
31,0.5747982398097524
32,0.2675074020893844
33,0.0802680340890678
34,0.043574409058635744
35,0.787955566067955
36,0.22883656012084497
37,0.833228094312986
38,0.3556024652867187
39,0.8914406851926409
40,0.5266228724157488
41,0.8550345739945804
42,0.8217137830138228
43,0.1122574637996292
44,0.18499280156065734
45,0.7290298044228466
46,0.07705750301688785
47,0.7410837769105281
48,0.06882791073962835
49,0.4813369255189265
50,0.14249512150222599
51,0.04967977106025656
52,0.100986437271945
53,0.10747696964968301
54,0.1385241552892551
55,0.9091338415057469
56,0.05657667443203851
57,0.11991722165192398
58,0.31897456678647584
59,0.7596813374970895
60,0.23905218297651465
61,0.04244301489698232
62,0.38477578097293286
63,0.07282904283749547
64,0.2734882107850052
65,0.6051332815745062
66,0.1657031297482039
67,0.6827480259367006
68,0.7567996794302758
69,0.06231375215935009
70,0.38549887615482237
71,0.8060262856819115
72,0.515646878678967
73,0.25910165420329156
74,0.285828066798149
75,0.08796266538233377
76,0.04158391001096884
77,0.21890828339362955
78,0.19740807170486163
79,0.14793985969530443
80,0.11067497996768427
81,0.075483092082541
82,0.04563720259082216
83,0.18599747085014973
84,0.06254891131622986
85,0.25793825608796983
86,0.2787659164522652
87,0.38312328492567715
88,0.15235404229905036
89,0.4756983029372275
90,0.08608026940929947
91,0.05308257251194215
92,0.5836399405564878
93,0.2621640473446796
94,0.7100506025874269
95,0.139034858261596
96,0.6455986864554052
97,0.09334994655220752
98,0.03316301185087245
99,0.1520692781983427
100,0.6134534430954369
101,0.08671588415025533
102,0.2655258664757376
103,0.1426075693532658
104,0.048347693046303264
105,0.28055465437034444
106,0.2108623238262164
107,0.04112826558981075
108,0.5170440115781675
109,0.15566867841689924
110,0.9259641676054348
111,0.3949714029526389
112,0.08748759209637957
113,0.07286860371123949
114,0.0942507687664268
115,0.10835924468579394
116,0.19669870298632475
117,0.2919164030588739
118,0.3561309194096738
119,0.08837194096944878
120,0.07924132442905218
121,0.12168785450286634
122,0.2074429109693967
123,0.20496282260260223
124,0.18214357371534873
125,0.7848434230410906
126,0.7451226096047576
127,0.6951007568117774
128,0.23543084772587197
129,0.7041542399440384
130,0.892316741807906
131,0.3059486553555826
132,0.23750611459697757
133,0.1491917992162879
134,0.44031112564235564
135,0.0979612516786571
136,0.48508092393185975
137,0.11655249254363953
138,0.06854544893402603
139,0.47568178849913656
140,0.15405269480558048
141,0.3256137261225984
142,0.45344634436305364
143,0.1567399979660441
144,0.7066999870218182
145,0.5321703681731047
146,0.057780377064385435
147,0.10532149169184135
148,0.5113234206554016
149,0.7718779181716641
150,0.048271792920070666
151,0.4886256026253508
152,0.1792883023075953
153,0.08827001001794477
154,0.33104981381789766
155,0.06978499447105202
156,0.14697584901513627
157,0.09070805257763792
158,0.08492983583962233
159,0.05360262060583043
160,0.10461101048691379
161,0.450791378671222
162,0.25966732511794843
163,0.13946137834193983
164,0.08738932097793772
165,0.3985887311653812
166,0.5666865539602269
167,0.6072732703176409
168,0.6462272620349535
169,0.395940402120726
170,0.1712368937250648
171,0.8437887079370174
172,0.23337780004911723
173,0.19046533940993304
174,0.16721195639410602
175,0.10899370610105319
176,0.11806282182155536
177,0.27296007852742377
178,0.3882141883252137
179,0.8103332555256125
180,0.2279839965487872
181,0.054839474687483736
182,0.4330643571323891
183,0.040306164331269656
184,0.061481208490342665
185,0.46397418533265
186,0.10063306849720433
187,0.16919192139896633
188,0.3192869230159634
189,0.4784140048864004
190,0.5075296191643905
191,0.13078858659170334
192,0.7100452878165955
193,0.15509276249553405
194,0.11855409337025269
195,0.12259436533202517
196,0.3204815892949813
197,0.05278236659303914
198,0.9199539063686923
199,0.607702036319826
200,0.7268798933693087
201,0.37514997201969824
