Row,z_1,z_2
0,0.8345082664925539,-2.00806021632132
1,-0.8833625365718998,-2.2514353861335517
2,-1.1933078176874663,-0.6170413673379946
3,-1.170257735377025,0.3236364219241667
4,1.1173857979594914,-1.0195934441634205
5,,
6,-1.3228391920161684,1.8655257464646382
7,-1.3169488648147243,2.1693388992867813
8,-1.6255045965226276,2.8507507916329957
9,-1.5462537745344338,3.5025209891488966
10,-0.7883327318418653,4.051602647692368
11,-0.19867891471313875,4.068926419120761
12,-0.17132844362407038,3.923472200890525
13,0.0964430474484163,3.5067973774267163
14,0.7326126515744699,2.959587020290983
15,0.7810443270215949,2.49439013449735
16,1.2013167831644243,2.178374745030542
17,1.5956328337833294,1.8219728077616233
18,1.610652926641274,1.407701426751348
19,1.8732577561114867,1.072420127063287
20,1.783678033090842,0.5893094635998389
21,1.8203596709219396,0.4822850976267969
22,1.4996505310203323,-0.44506463251496153
23,1.1173857979594914,-1.0195934441634205
24,-1.1544628018917154,0.3664058094259438
25,-1.2826476263818898,1.2711120413422048
