Row,z_1,z_2
0,-1.3228391920161684,1.8655257464646382
1,-1.2813701039178038,2.130131202654904
2,-1.2711131594222735,2.417627375360931
3,-1.5462537745344338,3.5025209891488966
4,-0.7883327318418653,4.051602647692368
5,-0.19867891471313875,4.068926419120761
6,-0.17132844362407038,3.923472200890525
7,0.0720917344336497,3.367541538527816
8,0.18653231039727713,2.7960358218315466
9,0.6442923179852603,1.5538033202957944
10,-1.3400473100140675,0.4543420999966522
11,-1.2826476263818898,1.2711120413422048
