Row,F1,Harmfulness,LSC,LSR,N1,N2,Usefulness
38,1.0002135850816931,0.006150195568290902,0.9964141122023746,0.8552230206648372,0.5012312023196459,0.5609399277462882,0.9911924265650064
39,1.0009195311345473,0.014755357099940549,0.9966795123638827,0.880214151337942,1.0009267291339585,0.6037549022000186,0.9984676978930841
40,1.0004931185374057,-0.0003941552318756789,0.9963675083101815,0.7842685837642809,0.9999477424438132,0.5672811405369038,1.0005312397642783
41,1.0022036902285911,0.01301600564432404,0.9956605751289094,0.8762819002568958,0.7500498290705464,0.5420552582880255,0.9983129341952682
42,1.0002898217164913,0.018899743934947626,0.9984303156852142,0.8977897048701332,0.49878502268258496,0.5823209219800011,0.9978293906481925
43,1.0000697298005254,-0.0005651854642053662,0.9882057924953129,0.8098782085261926,-0.00012629451141454252,0.44178518785940657,1.0010262740306677
44,0.9999865777479873,-0.0001316149239413033,0.9675413325850416,0.6972247070789479,4.970253072593199e-05,0.428850676416462,1.0015199919072642
45,1.000267179794933,0.012121886783321727,0.9996789995120918,0.9433058296342887,0.9991887100174234,0.6923908674788012,1.0003343308480206
46,1.0008493810405619,3.0133061195521247e-05,0.991330004109896,0.7512046325449285,-3.306654014696445e-05,0.40655024693112735,0.9881905547300321
47,0.999921164666415,-0.0001257591786324121,0.9955875251841996,0.8683155820186534,0.0008410370513083488,0.481379959978722,1.000030009476807
48,1.0000120608557639,0.0008941194768472458,0.920360744714905,0.8136028360747811,0.0012368106735648522,0.35327272479120875,0.942563801951895
49,1.0000685576676434,0.008627233373748981,0.9971829675488947,0.8767400430013711,0.9993974919649855,0.5510912733589612,0.9998329765447064
50,0.9999639585496533,-0.0012166568619382668,0.9955434723099594,0.9134622092476521,0.0008304368149447943,0.35172680946249424,0.9910147463374833
51,0.9975120519089615,0.00042289447193074236,0.9384240182635992,0.8352067056886758,0.0006900934891675565,0.3865700173988871,0.9540437838820434
52,1.0006351612188615,0.00019961648551622676,0.9678798623427693,0.8591300179661502,-0.0008830036703818938,0.3555954508165919,0.9367119782071333
53,1.0003774910414114,-0.0006468143861006839,0.9818991058937784,0.8595612552120372,0.000468791793414404,0.4234705917126194,0.9757864938027143
54,0.9977125381318915,-0.0002883418416688073,0.9729746866170859,0.7748249480390348,-0.0003952962406760334,0.3857824257497522,0.9772714166239769
55,0.9992220099551964,0.018674804328054403,0.9975850367165426,0.8697603265165054,0.999076709670776,0.5775772397074073,1.0014191455946395
56,1.0002519451541734,-0.0005986204786014771,0.8301710911791613,0.8008144586021504,0.0002724518438369658,0.2484402739130511,0.9550453920002017
57,1.0005118977676213,-0.001381434014331013,0.9928894397025303,0.7970062703149972,0.5002374666542133,0.47687797010295546,0.9926989437879667
58,1.0008624145300473,-0.00019695773235073948,0.9944291702347661,0.8030712624758312,0.0004439462184942275,0.47645165473071016,0.9980693822089244
59,1.0009254186442038,0.0024805941591500274,0.997220224002406,0.7663463869953716,1.00081252537642,0.5424526049931636,0.999776888255296
60,1.0002425461375504,-2.376629497247286e-05,0.9842417036635209,0.8561820271975337,0.00045176138461249107,0.3773188145849381,0.9886134689040927
61,1.000983212500455,0.0006999568250113652,0.9805352794649025,0.8070086782482521,-0.0008521912642027458,0.16013899931827144,0.993785178618127
62,1.0017532313451722,0.0009134383908952584,0.9877751140235773,0.9086135629228247,0.0006128421979551881,0.45383538792438854,0.9848856747523747
63,0.9996544717459034,-2.5979218599694034e-05,0.9925146609678959,0.8049514365408734,-1.8659535533098e-06,0.43509320374603494,0.9996369976375652
64,1.0002729433389475,0.0030739811324205354,0.9988757232551265,0.8908977322533259,1.0001178894506901,0.5878695198226851,0.9926330969442281
65,1.0006176532763802,0.0045303098614821145,0.9854563370287349,0.9099091106018723,0.2501323799295544,0.4435888390962898,0.9864895539448717
66,1.000113175589089,-0.002292716389844763,0.9857511568145193,0.8588402815309609,0.2507738438033386,0.39676040438454246,0.980554348898024
67,1.000077098588595,-0.001176393935410411,0.9957905264583203,0.8090475264657417,1.0005287822804019,0.5301125509458524,0.9996095532389374
68,0.99957276734357,-9.084697257118651e-05,0.9954938803365855,0.8082795005640355,-0.00027351526841992127,0.49460930742694253,0.9993044149904519
69,1.0021303123472742,-0.002047700537328528,0.9187530603612444,0.8518883811805181,-0.0004760864159959163,0.34276020945255925,0.9119726062319529
70,1.0003863601358018,0.0003659887975088728,0.9959199306158774,0.82934223109393,-0.000868797195716904,0.4636031406191172,0.9953293594710219
71,1.0005989154764405,0.025615493803188998,0.9970743873301264,0.9275432041904034,1.0011300598531674,0.6963766712171922,0.9994623949743162
72,1.0012416645898696,0.003511951693191942,0.9974296403622529,0.9011286713697574,0.9987393294667746,0.6156546381004634,0.999129848845448
73,1.0005013693154399,-0.0022177661986257733,0.984662371298259,0.8003215456939574,0.0012184368644448157,0.4693496857573487,0.9999437741277633
74,1.0003378300832004,-0.0007104194039413939,0.9781524407744996,0.7891597171436516,0.0012879811260095577,0.434722708227982,0.996096175971495
75,1.0007551523513734,1.3302605861342089e-05,0.9506778101094749,0.8540269411555756,-0.0003263953571313941,0.32223661130654646,0.9471647222699099
76,1.0012164817070381,-0.0017945851774790389,0.87499887065808,0.7401968841698947,1.6856462184948746e-05,0.27776263698981607,0.9951482331897803
77,0.9993573858338316,0.002117258190412822,0.9925415321954012,0.8639405957578046,-0.0017387255553348632,0.33169221009381056,0.9940525894666242
78,0.9998901413426002,0.0026963796414775708,0.9929535763409925,0.870372228328274,0.250634247472987,0.4433936929642567,0.9794398234931309
79,1.0017389129091379,-0.0012756979713839218,0.9769500466248581,0.852692216272104,0.33285746252066223,0.23214700742006905,0.9877815288795722
80,0.9995243434011166,0.0010639565591944067,0.9600335660455914,0.8667225021186856,0.0025217067291191894,0.3413645150746127,0.9071311082117527
81,0.9993077366201875,-0.0007005976245007165,0.9695393005683305,0.8422547730452064,0.00037515092686681164,0.38907651431274354,0.9802706270690069
82,1.0001013428903287,0.0003501139481575961,0.9777076189239102,0.7938732789226892,0.000286862685117878,0.1203630125056317,0.9939679708436244
83,0.9989628872495557,0.005329820154724347,0.9945610294497327,0.8246352582093741,0.49937722050087563,0.42921198592831233,0.9960202167596834
84,1.0007940935309672,0.001927632777072189,0.9341352450465731,0.8507617895523683,-0.0018268736586629425,0.2847986686726651,0.9299963766805629
