instances,feature_F1,feature_Harmfulness,feature_LSC,feature_LSR,feature_N1,feature_N2,feature_Usefulness,algo_bagging,algo_gradient_boosting,algo_random_forest,algo_svc_linear
1,1.0,0.0,0.9888059701492538,0.8245904923280436,0.5,0.4421586351976412,0.9925373134328358,0.19817624826751282,0.7077051337340416,0.24048704862099346,0.21362382328836818
2,1.0,0.0,0.908,0.8125016865956098,0.0,0.36687577296649665,0.96,0.09062778409884016,0.19445212926510533,0.10178161077726806,0.09120674500191463
3,1.0,0.0,0.9813432835820896,0.7983464228899558,0.0,0.47878909363087874,0.9925373134328358,0.3490531787749176,0.28488531950979856,0.9795044738409688,0.11674660118892591
4,1.0,0.0,0.79,0.8081889835486733,0.0,0.23903549395097057,0.908,0.04949579168384425,0.04131311272455128,0.030375761730901663,0.074823163792604
5,1.0,0.0,0.9850746268656716,0.6742083429619239,0.0,0.4701871271997664,0.996268656716418,0.7089636345374334,0.6249320341936124,0.18289341971386944,0.06137953083581902
6,1.0,0.0037313432835820895,0.996,0.9185402944371973,0.25,0.34741731888497396,0.99,0.09972770646973653,0.17896612722941407,0.05413613164052857,0.33392386738861607
7,1.0,0.04,0.996268656716418,0.8931816490442335,1.0,0.6526467172473644,1.0,2.6519205599457814,3.252446822333057,3.4087526355889324,2.2409032803177213
8,1.0,0.007462686567164179,0.998,0.8910299964402396,1.0,0.5661607628346703,1.0,0.5191822460297888,0.27948971043411835,0.5536247229150485,1.8010448536714943
9,1.0,0.0,0.9888059701492538,0.7138673613724603,0.0,0.4821839472789601,0.996268656716418,0.11893647404087253,0.24956605301563636,0.151065491121521,0.08482192347094326
10,1.0,0.002,0.9925373134328358,0.8221038243005105,0.0,0.49954104790621345,1.0,1.598120932865067,1.316279086471352,2.0587987393636085,2.420676834137931
11,1.0,0.0037313432835820895,0.984,0.8580852956438081,0.3333333333333333,0.4220432459558284,0.994,0.11619799895045382,0.09679449673889708,0.11983625214826683,0.4389479206858909
12,1.0,0.004,0.996268656716418,0.8752763918598423,1.0,0.6057510663493477,0.996268656716418,0.059947056057299115,0.07926459152838365,0.04144425452278979,0.08260794066539849
13,1.0,0.0,0.996,0.8025237769129098,0.0,0.496178510683276,1.0,0.19324862669790077,0.12398260115835226,0.3202037654147091,1.9188889885638767
14,0.875,0.0,0.9664179104477612,0.58925572654983,0.0,0.3950366276300128,0.996268656716418,0.7082521652477457,1.1499342183435262,0.2517754568095978,0.726694879382804
15,1.0,0.002,0.996268656716418,0.8756007280116718,1.0,0.5838651473418863,1.0,0.455323407792637,0.3450608890095502,0.34450275690236193,0.36053353172521113
16,1.0,0.006,0.996268656716418,0.9624499088817665,1.0,0.7475817255965944,1.0,1.6700568414382357,0.7618003019697307,1.3814113106568546,0.9456242655130382
17,1.0,0.002,0.9888059701492538,0.881972699267544,0.0,0.4856727721065969,0.996268656716418,1.1961908316714176,0.856840265874711,1.0121331592950273,0.869486916845237
18,1.0,0.002,0.996268656716418,0.9117185309239269,0.3333333333333333,0.5127089502461633,0.9925373134328358,1.5626321328421409,1.0303099843572685,1.6231589008413156,1.3206047226441435
19,1.0,0.0037313432835820895,0.998,0.8013681892879578,0.5,0.5178126523434506,1.0,0.225992921625872,0.26855816944754884,0.2197425202065883,0.6371985773588429
